id,name,drinkable,weight,packsize,quantity,price,delivery,gramCost,url
,"taylors after dark",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-after-dark-ground-coffee-227g
,"taylors brasil",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-brasilia-ground-coffee-227g
,"taylors cacao",1,227,,,4.5,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-cacao-superior-colombia-ground-coffee-227g
,"taylors fika",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-fairtrade-organic-fika-ground-coffee-227g
,"taylors italian",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-rich-italian-roast-coffee-227g
,"taylors italian",1,454,,,5,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-rich-italian-ground-coffee-454g
,"taylors java",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-ground-coffee--hot-lava-java-227g
,"taylors lazy Sunday",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-ground-coffee--lazy-sunday-227g
,"taylors lazy Sunday",1,454,,,5,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-lazy-sunday-ground-coffee-454g
,"taylors limited edition",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-rwanda-lake-kivu-ground-coffee-227g
,"taylors voltage",1,227,,,3,,,https://www.sainsburys.co.uk/gol-ui/product/taylors-of-harrogate-high-voltage-ground-coffee-227g
,tchibo,1,250,,,2,,,https://www.sainsburys.co.uk/gol-ui/product/tchibo-family-ground-coffee-250g
,"union bobolink",1,200,,,5.5,,,https://www.sainsburys.co.uk/gol-ui/product/union-hand-roasted-coffee-bobolink-brazil-cafeti%c3%a8re-grind-200g
,"union house",1,200,,,5,,,https://www.sainsburys.co.uk/gol-ui/product/union-hand-roasted-coffee-house-roast-cafeti%c3%a8re-grind-200g
,"union maraba",1,200,,,5.5,,,https://www.sainsburys.co.uk/gol-ui/product/union-hand-roasted-coffee-maraba-rwanda-cafeti%c3%a8re-grind-200g
,"union timana",1,200,,,5.5,,,https://www.sainsburys.co.uk/gol-ui/product/union-hand-roasted-timana-colombia-ground-coffee-200g
